time(ms),TVC_X_deg,TVC_Y_deg
100,5,0.5
100,4.9,0.8
100,4.9,1
100,4.9,1.3
100,4.8,1.5
100,4.7,1.7
100,4.6,2
100,4.5,2.2
100,4.4,2.4
100,4.3,2.6
100,4.2,2.9
100,4,3.1
100,3.9,3.3
100,3.7,3.4
100,3.6,3.6
100,3.4,3.8
100,3.2,3.9
100,3,4.1
100,2.8,4.2
100,2.6,4.4
100,2.4,4.5
100,2.2,4.6
100,2,4.7
100,1.8,4.8
100,1.5,4.8
100,1.3,4.9
100,1.1,4.9
100,0.8,5
100,0.6,5
100,0.3,5
100,0.1,5
100,-0.1,5
100,-0.4,5
100,-0.6,4.9
100,-0.9,4.9
100,-1.1,4.8
100,-1.3,4.8
100,-1.6,4.7
100,-1.8,4.6
100,-2,4.5
100,-2.2,4.4
100,-2.5,4.3
100,-2.7,4.1
100,-2.9,4
100,-3.1,3.8
100,-3.3,3.7
100,-3.4,3.5
100,-3.6,3.4
100,-3.8,3.2
100,-3.9,3
100,-4.1,2.8
100,-4.2,2.6
100,-4.3,2.4
100,-4.4,2.2
100,-4.6,2
100,-4.6,1.8
100,-4.7,1.6
100,-4.8,1.4
100,-4.9,1.1
100,-4.9,0.9
100,-5,0.7
100,-5,0.5
100,-5,0.2
100,-5,0
100,-5,-0.2
100,-5,-0.5
100,-4.9,-0.7
100,-4.9,-0.9
100,-4.8,-1.2
100,-4.8,-1.4
100,-4.7,-1.6
100,-4.6,-1.8
100,-4.5,-2
100,-4.4,-2.2
100,-4.3,-2.4
100,-4.2,-2.6
100,-4,-2.8
100,-3.9,-3
100,-3.7,-3.2
100,-3.5,-3.4
100,-3.4,-3.6
100,-3.2,-3.7
100,-3,-3.9
100,-2.8,-4
100,-2.6,-4.2
100,-2.4,-4.3
100,-2.2,-4.4
100,-1.9,-4.5
100,-1.7,-4.6
100,-1.5,-4.7
100,-1.2,-4.8
100,-1,-4.8
100,-0.8,-4.9
100,-0.5,-4.9
100,-0.3,-5
100,0,-5
100,0.2,-5
100,0.4,-5
100,0.7,-5
100,0.9,-5
100,1.2,-4.9
100,1.4,-4.9
100,1.6,-4.8
100,1.8,-4.7
100,2.1,-4.6
100,2.3,-4.5
100,2.5,-4.4
100,2.7,-4.3
100,2.9,-4.2
100,3.1,-4
100,3.3,-3.9
100,3.5,-3.7
100,3.6,-3.6
100,3.8,-3.4
100,4,-3.2
100,4.1,-3
100,4.2,-2.8
100,4.4,-2.6
100,4.5,-2.3
100,4.6,-2.1
100,4.7,-1.9
100,4.7,-1.6
100,4.8,-1.4
100,4.9,-1.2
100,4.9,-0.9
100,5,-0.7
100,5,-0.4
100,5,-0.2
100,5,0.1
100,5,0.4
100,5,0.6
100,4.9,0.9
100,4.9,1.1
100,4.8,1.4
100,4.8,1.6
100,4.7,1.8
100,4.6,2.1
100,4.5,2.3
100,4.4,2.5
100,4.3,2.7
100,4.1,2.9
100,4,3.1
100,3.8,3.3
100,3.7,3.5
100,3.5,3.7
100,3.3,3.9
100,3.1,4
100,2.9,4.2
100,2.7,4.3
100,2.5,4.4
100,2.3,4.5
100,2.1,4.6
100,1.9,4.7
100,1.7,4.8
100,1.4,4.8
100,1.2,4.9
100,1,4.9
100,0.7,5
100,0.5,5
100,0.2,5
100,0,5
100,-0.2,5
100,-0.5,4.9
100,-0.7,4.9
100,-1,4.9
100,-1.2,4.8
100,-1.4,4.7
100,-1.7,4.6
100,-1.9,4.5
100,-2.1,4.4
100,-2.3,4.3
100,-2.5,4.2
100,-2.7,4.1
100,-2.9,3.9
100,-3.1,3.8
100,-3.3,3.6
100,-3.5,3.5
100,-3.7,3.3
100,-3.8,3.1
100,-4,2.9
100,-4.1,2.7
100,-4.3,2.5
100,-4.4,2.3
100,-4.5,2.1
100,-4.6,1.9
100,-4.7,1.7
100,-4.8,1.5
100,-4.8,1.3
100,-4.9,1
100,-4.9,0.8
100,-5,0.6
100,-5,0.4
100,-5,0.1
100,-5,-0.1
100,-5,-0.3
100,-5,-0.6
100,-4.9,-0.8
100,-4.9,-1
100,-4.8,-1.2
100,-4.7,-1.5
100,-4.7,-1.7
100,-4.6,-1.9
100,-4.5,-2.1
100,-4.4,-2.3
100,-4.2,-2.5
100,-4.1,-2.7
100,-4,-2.9
100,-3.8,-3.1
100,-3.6,-3.3
100,-3.5,-3.5
100,-3.3,-3.6
100,-3.1,-3.8
100,-2.9,-3.9
100,-2.7,-4.1
100,-2.5,-4.2
100,-2.3,-4.3
100,-2.1,-4.4
100,-1.8,-4.5
100,-1.6,-4.6
100,-1.4,-4.7
100,-1.2,-4.8
100,-0.9,-4.9
100,-0.7,-4.9
100,-0.4,-5
100,-0.2,-5
100,0,-5
100,0.3,-5
100,0.5,-5
100,0.8,-5
100,1,-4.9
100,1.2,-4.9
100,1.5,-4.8
100,1.7,-4.8
100,1.9,-4.7
100,2.2,-4.6
100,2.4,-4.5
100,2.6,-4.4
100,2.8,-4.3
100,3,-4.1
100,3.2,-4
100,3.4,-3.8
100,3.5,-3.7
100,3.7,-3.5
100,3.9,-3.3
100,4,-3.1
100,4.2,-2.9
100,4.3,-2.7
100,4.4,-2.5
100,4.5,-2.3
100,4.6,-2
100,4.7,-1.8
100,4.8,-1.6
100,4.8,-1.3
100,4.9,-1.1
100,4.9,-0.8
100,5,-0.6
100,5,-0.3
100,5,-0.1
100,5,0.2
100,5,0.5
100,5,0.7
100,4.9,1
100,4.9,1.2
100,4.8,1.5
100,4.7,1.7
100,4.6,1.9
100,4.6,2.2
100,4.4,2.4
100,4.3,2.6
100,4.2,2.8
100,4.1,3
100,3.9,3.2
100,3.8,3.4
100,3.6,3.6
100,3.4,3.8
100,3.3,3.9
100,3.1,4.1
100,2.9,4.2
100,2.7,4.3
100,2.5,4.5
100,2.2,4.6
100,2,4.7
100,1.8,4.7
100,1.6,4.8
100,1.3,4.9
100,1.1,4.9
100,0.9,5
100,0.6,5
100,0.4,5
100,0.1,5
100,-0.1,5
100,-0.3,5
100,-0.6,4.9
100,-0.8,4.9
100,-1.1,4.8
100,-1.3,4.8
100,-1.5,4.7
100,-1.8,4.6
100,-1.8,4.6
